Handshake time to audio CDN with IPv4,,,,,,India,,,,,,,Munich,,,,,
Video download rate with IPv4,,,,,,,,,,,,,,,,,,
-----------------------------,,,,,,,,,,,,,,,,,,
TLS12,0.52,0.54,0.58,0.6,0.61,0.63,0.64,0.65,0.69,7.64,8.18,9.16,9.59,9.9,10.29,10.39,10.62,10.86
Q035,0.52,0.54,0.57,0.59,0.6,0.61,0.62,0.63,0.66,6.79,7.29,8.21,8.7,8.93,9.29,9.36,9.63,10.15
Q039,0.39,0.43,0.49,0.55,0.56,0.57,0.58,0.6,0.61,3.94,4.27,5.22,5.8,6.23,7.07,7.42,8.02,9.25
Q043,0.42,0.43,0.49,0.51,0.53,0.56,0.57,0.59,0.63,4.29,4.57,5.51,6.11,6.57,7.33,7.63,8.39,9.47
Q044,0.3,0.32,0.35,0.41,0.48,0.54,0.56,0.59,0.65,4.88,5.24,6.38,6.78,7.29,7.74,7.96,8.44,9.71
-----------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Overall download rate with IPv4,,,,,,,,,,,,,,,,,,
-----------------------------,,,,,,,,,,,,,,,,,,
TLS12,0.55,0.58,0.62,0.64,0.65,0.67,0.68,0.71,0.82,8.24,8.82,9.84,10.26,10.6,10.94,11.07,11.34,12.52
Q035,0.55,0.57,0.6,0.61,0.63,0.65,0.66,0.68,0.7,7.56,8,8.88,9.25,9.47,9.82,9.89,10.17,10.58
Q039,0.42,0.45,0.55,0.57,0.58,0.59,0.6,0.62,0.66,4.24,4.61,5.62,6.24,6.73,7.48,7.84,8.52,9.84
Q043,0.43,0.45,0.51,0.53,0.55,0.58,0.59,0.62,0.67,4.73,4.91,5.96,6.52,7.12,7.87,8.15,8.87,9.99
Q044,0.31,0.33,0.37,0.43,0.5,0.56,0.6,0.62,0.69,5.5,5.78,6.82,7.25,7.76,8.35,8.61,8.89,9.97
-----------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Video/Audio Rate Δ with IPv4,,,,,,,,,,,,,,,,,,
-----------------------------,,,,,,,,,,,,,,,,,,
TLS12,6,7,10,13,15,20,33,57,79,16,18,26,31,36,44,48,60,87
Q035,38,42,48,50,51,53,55,58,68,73,74,76,77,78,80,81,83,88
Q039,49,50,53,54,56,58,61,68,78,70,73,77,78,80,83,84,87,93
Q043,46,47,50,52,53,55,56,60,87,69,72,76,78,80,83,84,87,92
Q044,49,50,51,53,53,56,57,61,84,70,72,75,77,79,81,82,83,87
-----------------------------,,,,,,,,,,,,,,,,,,
Stall duration with IPv4,,,,,,,,,,,,,,,,,,
-----------------------------,,,,,,,,,,,,,,,,,,
TLS12,0,0,0,0,0,4172.5,10938.6,35203.5,111821.2,0,0,0,0,0,0,0,0,37635.3
Q035,0,0,0,0,0,0,0,129.3,62920.3,0,0,0,0,0,0,0,0,11233.5
Q039,0,0,0,0,0,175.9,1675.1,6035.8,144410.1,0,0,0,0,0,0,0,0,0
Q043,0,0,0,0,0,2107.2,3210.2,7180.4,138906.2,0,0,0,0,0,0,0,0,30920.2
Q044,0,0,0,0,0,0,1448.6,3177.5,96538.9,0,0,0,0,0,0,0,0,27564.3
-----------------------------,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
-----------------------------,,,,,,,,,,,,,,,,,,
